政#セイ ・ ショウ ・ まつりごと ・ まん#politics; government#kanji
議#ギ#deliberation; consultation; debate; consideration#kanji
民#ミン ・ たみ#people; nation; subjects#kanji
連#レン ・ つら.なる ・ つら.ねる ・ つ.れる ・ -づ.れ#take along; lead; join; connect; party; gang; clique#kanji
対#タイ ・ ツイ ・ あいて ・ こた.える ・ そろ.い ・ つれあ.い ・ なら.ぶ ・ むか.う#vis-a-vis; opposite; even; equal; versus; anti-; compare#kanji
部#ブ ・ -べ#section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine#kanji
合#ゴウ ・ ガッ ・ カッ ・ あ.う ・ -あ.う ・ あ.い ・ あい- ・ -あ.い ・ -あい ・ あ.わす ・ あ.わせる ・ -あ.わせる#fit; suit; join; 0.1#kanji
市#シ ・ いち#market; city; town#kanji
内#ナイ ・ ダイ ・ うち#inside; within; between; among; house; home#kanji
相#ソウ ・ ショウ ・ あい-#inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy#kanji
定#テイ ・ ジョウ ・ さだ.める ・ さだ.まる ・ さだ.か#determine; fix; establish; decide#kanji
回#カイ ・ エ ・ まわ.る ・ -まわ.る ・ -まわ.り ・ まわ.す ・ -まわ.す ・ まわ.し- ・ -まわ.し ・ もとお.る ・ か.える#-times; round; game; revolve; counter for occurrences#kanji
選#セン ・ えら.ぶ#elect; select; choose; prefer#kanji
米#ベイ ・ マイ ・ メエトル ・ こめ ・ よね#rice; USA; metre#kanji
実#ジツ ・ シツ ・ み ・ みの.る ・ まこと ・ まことに ・ みの ・ みち.る#reality; truth#kanji
関#カン ・ せき ・ -ぜき ・ かか.わる ・ からくり ・ かんぬき#connection; barrier; gateway; involve; concerning#kanji
決#ケツ ・ き.める ・ -ぎ.め ・ き.まる ・ さ.く#decide; fix; agree upon; appoint#kanji
全#ゼン ・ まった.く ・ すべ.て#whole; entire; all; complete; fulfill#kanji
表#ヒョウ ・ おもて ・ -おもて ・ あらわ.す ・ あらわ.れる ・ あら.わす#surface; table; chart; diagram#kanji
戦#セン ・ いくさ ・ たたか.う ・ おのの.く ・ そよ.ぐ ・ わなな.く#war; battle; match#kanji
経#ケイ ・ キョウ ・ へ.る ・ た.つ ・ たていと ・ はか.る ・ のり#sutra; longitude; pass thru; expire; warp#kanji
最#サイ ・ シュ ・ もっと.も ・ つま#utmost; most; extreme#kanji
現#ゲン ・ あらわ.れる ・ あらわ.す ・ うつつ ・ うつ.つ#present; existing; actual#kanji
調#チョウ ・ しら.べる ・ しら.べ ・ ととの.う ・ ととの.える#tune; tone; meter; key (music); writing style; prepare; exorcise; investigate#kanji
化#カ ・ ケ ・ ば.ける ・ ば.かす ・ ふ.ける ・ け.する#change; take the form of; influence; enchant; delude; -ization#kanji
